id;code;pf_account;spf_account;pf_start_month;pf_base;pf_stop_month;pf_remark;ss_account;ss_city;ss_start_month;ss_base;ss_stop_month;ss_remark;allowance;taxpayer;is_self_verify;is_hr_verify
1;monitor Operations Sports;synergies;deposit Principal Profound;2019-07-17;38007;2019-07-18;Applications;yellow Shoes;Open-source multi-tasking;2019-07-17;92960;2019-07-17;Moldova archive;61033;interface zero administration networks;false;true
2;Metal;Bacon Cocos (Keeling) Islands card;multi-byte;2019-07-18;25656;2019-07-17;supply-chains Licensed connecting;Sleek Rubber Computer Solutions;invoice Cambridgeshire;2019-07-17;22807;2019-07-17;payment;17477;next-generation Human;true;false
3;Exclusive virtual;transmitter;bandwidth Trinidad and Tobago Dollar Licensed;2019-07-17;14970;2019-07-17;Delaware Bike;SCSI Field Bermuda;Home;2019-07-17;23024;2019-07-17;New Zealand;23194;benchmark;true;false
4;Frozen bi-directional;Russian Ruble deploy;Roads feed;2019-07-18;99125;2019-07-17;bypassing;array Virginia;bypass;2019-07-17;8565;2019-07-17;Savings Account monetize one-to-one;34356;Checking Account convergence;true;false
5;primary Profit-focused Ethiopia;Credit Card Account Pataca Function-based;collaboration Aruban Guilder;2019-07-17;37847;2019-07-17;Wyoming system;proactive New Hampshire;Usability;2019-07-18;63496;2019-07-17;mint green Indonesia Practical;45037;back up B2C invoice;true;false
6;enhance Cotton Liaison;Producer;generate Switchable Kyat;2019-07-18;62358;2019-07-17;1080p;Rubber connecting back-end;Small Wooden Gloves Expanded viral;2019-07-17;8764;2019-07-17;Optional Bedfordshire navigating;27970;Communications XML;false;true
7;Borders Planner navigating;Cambridgeshire;Granite quantifying;2019-07-17;67430;2019-07-17;SMS back-end;orange bypassing Graphic Interface;Keyboard;2019-07-17;22361;2019-07-17;Planner invoice generating;13252;FTP Investor;false;false
8;Legacy hacking;Cambridgeshire;hacking withdrawal;2019-07-18;6817;2019-07-17;Avon;Associate;parse Cotton;2019-07-17;31181;2019-07-17;ADP attitude-oriented;85144;Electronics Kids;true;true
9;Shirt Awesome Soft Mouse;green Cambridgeshire;Generic Metal Gloves Administrator Devolved;2019-07-18;7462;2019-07-18;data-warehouse Intelligent Saudi Riyal;Home Loan Account;Manager open-source;2019-07-17;22080;2019-07-17;Credit Card Account;52704;models Soft AI;false;true
10;viral;supply-chains hacking;drive Supervisor Inverse;2019-07-18;48134;2019-07-17;open-source;synthesize Concrete;Savings Account access;2019-07-17;24120;2019-07-17;indigo Tasty Steel Shoes transform;26585;withdrawal Cambridgeshire;false;false
